Country;Year;Income_Inequality;Eco1;Eco2;Eco3;Energy1;Energy2;Energy3;Health1;Health2;Finan1;Finan2;Finan3;Finan4;Finan5;Governance;Poverty;Env;Other1;Other2;Other3
1;2010;H;2993.42097429645;2856.69034741285;4891.38195892011;3;34.895637512207;159;120;6.194;0.153188958764076;870198.5;0.530904568858526;1.41713297367096;0.308318287134171;-1.14209020137786;52.7967991292728;0.975916771759854;38.1623101146694;36.54;3.42131996154785
1;2011;H;2983.03261091412;3528.95573844991;6041.85423036143;5;34.5999984741211;159;112.2;6.12;0.142032191157341;999636.8125;0.673294985728644;1.42419624328613;0.375211209058762;-1.19798719882965;53.3158170509689;0.983787081068222;39.0226784952754;36.49;3.02999997138977
1;2012;H;3118.34369907577;4013.38761744247;6584.96363161106;5;37.1313209533691;145;104.9;6.039;0.132617771625519;1057144.125;0.671584862553329;1.43129467964172;0.414552271366119;-0.990929543972015;53.8754625746498;0.947583107262692;34.7310076331615;36.6;3.08190989494324
1;2013;H;3152.70432737825;4737.95627402076;7073.8470718984;5;38.2780303955078;145;98.3;5.953;0.143192902207375;1053465.25;0.667456302353052;1.43842852115631;0.437973618507385;-1.24662971496582;54.5557944144015;1.0310436355189;29.4000452272015;35.92;4.4389500617981
1;2014;H;3185.12240136461;5360.88914637003;7766.97735884479;9;32;145;92.9;5.864;0.133923754096031;1162079.125;0.622805675969232;1.44559788703918;0.449488818645477;-1.05508363246917;54.933175992638;1.0914970571178;22.124247625088;34.53;3.12292003631592
1;2015;H;3100.83068530533;5508.13845392516;7991.80316661862;15;42;145;88.3;5.774;0.14757014811039;1145485.375;0.426284316376943;1.45280301570892;0.416865557432175;-0.89318299293518;56.0564034111665;1.12518536428885;13.3056748880613;35.25;3.48690009117126
1;2016;H;2914.41545872801;5285.42554441123;7088.19016538413;16;41.8131294250488;145;84.4;5.686;0.154189601540565;1092634.5;0.243273069860543;1.46004402637482;0.417791962623596;-0.936142444610595;56.9049240295823;1.01255212444657;20.8851202682195;0;2.75494003295898
1;2017;H;2808.52175326664;5462.17698877873;7059.19531984119;16;43.0132598876953;121;81.1;5.6;0.148656234145164;1281953.25;0.316407263553031;1.46732115745544;0.414517402648926;-0.919977068901062;58.0137524629442;0.829723216824015;25.9503299089307;0;2.46688008308411
1;2018;H;2677.17781589774;5138.8733635192;6584.60258504871;28;45.2900009155273;121;78;5.519;0.144027262926102;1286664.875;0.353139801217462;1.4746345281601;0.414531916379929;-0.978714644908905;60.0686728078031;0.755827619476188;32.045405604301;0;2.04469990730286
1;2019;H;2569.69134652945;4899.99287516424;6245.04570578215;30;45.6427993774414;97;75;5.442;0.0969690978527069;1299231.5;0.311268799036523;1.48198437690735;0.387996405363083;-1.08401024341583;60.8315954797637;0.753638205444169;28.8978590593907;0;1.92745995521545
